Sample_Pep	Group	Count_1	Count_2	Intensity_1	Intensity_2
125-D1	BD*	39	26	137	143
145-B1	BD	111	117	1145	1306
145-D2	BD	34	24	126	64
126-A2	ABD	3	1	11	1
126-B3	ABD	5	6	24	21
126-D4	ABD	9	2	67	2
127-A4	ABD	38	63	127	221
127-B5	ABD	66	55	294	248
125-D2	BD*	27	27	154	190
145-B2	BD	115	84	1704	1226
145-D3	BD	63	31	238	87
126-A3	ABD	2	1	23	1
126-B4	ABD	4	5	12	23
126-D5	ABD	1	3	3	5
127-A5	ABD	103	46	442	127
127-D1	ABD	49	65	519	332
125-D3	BD*	27	23	122	63
145-B3	BD	32	36	130	118
145-D4	BD	55	58	152	182
126-A4	ABD	4	9	39	24
126-B5	ABD	8	10	33	51
126-D6	ABD	6	7	18	10
127-B1	ABD	149	138	1204	1618
127-D2	ABD	37	26	127	104
125-D4	BD*	31	29	108	88
145-B4	BD	53	109	451	533
145-D5	BD	54	23	222	60
126-A5	ABD	0	5	0	6
126-D1	ABD	0	8	0	43
127-A1	ABD	67	57	353	214
127-B2	ABD	37	72	259	430
127-D3	ABD	71	50	336	205
125-D5	BD*	26	19	93	82
145-B5	BD	53	45	333	442
145-D6	BD	42	93	147	672
126-B1	ABD	6	9	71	22
126-D2	ABD	3	4	7	12
127-A2	ABD	11	6	19	48
127-B3	ABD	67	53	262	192
127-D4	ABD	58	55	316	258
127-D5	ABD	42	48	133	192
128-A5	ABD	46	75	200	563
128-D1	ABD	67	76	386	362
129-A1	ABD	27	66	143	248
129-B2	ABD	91	103	1466	1599
129-D3	ABD	35	65	142	218
130-A3	ABD	86	75	1283	1587
130-B4	ABD	90	81	1828	1281
127-D6	ABD	43	43	208	144
128-B1	ABD	109	107	948	757
128-D2	ABD	68	71	309	249
129-A2	ABD	82	63	406	281
129-B3	ABD	66	95	300	368
129-D4	ABD	51	66	204	187
130-A4	ABD	65	65	234	240
130-B5	ABD	47	56	513	458
128-A1	ABD	35	30	159	94
128-B2	ABD	90	78	664	635
128-D3	ABD	89	52	328	196
129-A3	ABD	114	127	1601	1880
129-B4	ABD	93	88	1249	618
129-D5	ABD	72	60	221	268
130-A5	ABD	79	68	346	321
130-D1	ABD	67	63	562	300
128-A2	ABD	6	17	33	58
128-B3	ABD	47	45	183	127
128-D4	ABD	74	53	277	167
129-A4	ABD	164	45	968	151
129-B5	ABD	63	58	353	317
129-D6	ABD	58	61	203	160
130-B1	ABD	163	202	3119	4633
130-D2	ABD	30	27	72	98
128-A3	ABD	40	36	247	432
128-B4	ABD	62	41	774	452
128-D5	ABD	72	56	211	164
129-A5	ABD	79	35	363	107
129-D1	ABD	73	80	371	548
130-A1	ABD	71	86	272	285
130-B2	ABD	89	112	1637	2026
130-D3	ABD	29	22	97	64
128-A4	ABD	22	21	75	144
128-B5	ABD	61	33	585	138
128-D6	ABD	41	17	111	85
129-B1	ABD	99	60	1350	742
129-D2	ABD	43	24	189	93
130-A2	ABD	19	19	69	52
130-B3	ABD	48	32	152	65
130-D4	ABD	26	25	114	59
130-D5	ABD	32	35	87	114
146-A5	ABD	7	3	22	4
146-D1	ABD	8	7	44	23
136-A1	ADJ	105	147	366	536
136-B2	ADJ	97	125	372	532
136-D3	ADJ	110	68	557	235
137-A3	ADJ	45	66	212	251
137-B4	ADJ	35	62	133	232
130-D6	ABD	31	47	104	163
146-B1	ABD	6	12	23	49
146-D2	ABD	4	9	29	121
136-A2	ADJ	141	91	591	387
136-B3	ADJ	118	98	486	335
136-D4	ADJ	84	112	372	402
137-A4	ADJ	89	127	291	475
137-B5	ADJ	71	84	380	309
146-A1	ABD	14	16	44	84
146-B2	ABD	3	6	24	26
146-D3	ABD	8	9	66	18
136-A3	ADJ	92	79	366	310
136-B4	ADJ	95	71	402	298
136-D5	ADJ	95	113	451	419
137-A5	ADJ	109	144	470	551
137-D1	ADJ	67	60	286	187
146-A2	ABD	5	7	7	42
146-B3	ABD	4	3	7	5
146-D4	ABD	9	6	34	23
136-A4	ADJ	96	100	378	551
136-B5	ADJ	105	92	440	354
136-D6	ADJ	103	105	379	380
137-B1	ADJ	127	145	549	584
137-D2	ADJ	63	58	187	156
146-A3	ABD	7	6	31	36
146-B4	ABD	4	8	33	33
146-D5	ABD	9	2	12	7
136-A5	ADJ	132	121	561	664
136-D1	ADJ	129	112	326	483
137-A1	ADJ	95	85	431	285
137-B2	ADJ	93	107	435	434
137-D3	ADJ	60	57	254	236
146-A4	ABD	6	5	51	7
146-B5	ABD	6	14	14	45
146-D6	ABD	6	3	12	8
136-B1	ADJ	118	118	426	522
136-D2	ADJ	99	93	397	273
137-A2	ADJ	98	98	434	366
137-B3	ADJ	77	49	391	158
137-D4	ADJ	60	56	295	259
137-D5	ADJ	27	34	120	118
138-A5	ADJ	20	26	70	93
138-D1	ADJ	26	39	95	120
139-A1	ADJ	21	57	75	203
139-B2	ADJ	17	48	70	190
139-D3	ADJ	18	24	68	74
140-A3	ADJ	6	28	19	94
140-B4	ADJ	7	8	13	14
137-D6	ADJ	49	55	186	162
138-B1	ADJ	58	48	261	189
138-D2	ADJ	61	41	302	144
139-A2	ADJ	65	71	244	324
139-B3	ADJ	58	46	241	180
139-D4	ADJ	22	54	78	209
140-A4	ADJ	17	17	44	42
140-B5	ADJ	23	9	97	41
138-A1	ADJ	23	31	127	108
138-B2	ADJ	56	51	234	248
138-D3	ADJ	53	51	207	243
139-A3	ADJ	55	49	228	284
139-B4	ADJ	43	33	180	153
139-D5	ADJ	47	41	239	225
140-A5	ADJ	23	8	195	29
140-D1	ADJ	14	11	51	18
138-A2	ADJ	27	19	84	81
138-B3	ADJ	51	39	194	177
138-D4	ADJ	92	59	501	329
139-A4	ADJ	26	43	70	158
139-B5	ADJ	71	73	303	307
139-D6	ADJ	63	64	189	265
140-B1	ADJ	19	24	98	121
